You have specified parameters: threshold=mu+/-0.05*sigma #fea=84 selection method=MID #maxVar=10000 #maxSample=1000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.585

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
76 	 83 	 Feature83 	 -0.013
77 	 18 	 Feature18 	 -0.014
78 	 32 	 Feature32 	 -0.015
79 	 40 	 Feature40 	 -0.015
80 	 70 	 Feature70 	 -0.017
81 	 50 	 Feature50 	 -0.017
82 	 11 	 Feature11 	 -0.017
83 	 27 	 Feature27 	 -0.018
84 	 64 	 Feature64 	 -0.018


 *** This program and the respective minimum Redundancy Maximum Relevance (mRMR) 
     algorithm were developed by Hanchuan Peng <hanchuan.peng@gmail.com>for
     the paper 
     "Feature selection based on mutual information: criteria of 
      max-dependency, max-relevance, and min-redundancy,"
      Hanchuan Peng, Fuhui Long, and Chris Ding, 
      IEEE Transactions on Pattern Analysis and Machine Intelligence,
      Vol. 27, No. 8, pp.1226-1238, 2005.

