You have specified parameters: threshold=mu+/-0.05*sigma #fea=124 selection method=MID #maxVar=10000 #maxSample=1000

Target classification variable (#1 column in the input data) has name=class 	entropy score=1.585

*** MaxRel features ***
Order 	 Fea 	 Name 	 Score
38 	 95 	 Feature95 	 0.008
39 	 63 	 Feature63 	 0.008
40 	 124 	 Feature124 	 0.008
41 	 43 	 Feature43 	 0.007
42 	 17 	 Feature17 	 0.008
43 	 94 	 Feature94 	 0.007
44 	 19 	 Feature19 	 0.006
45 	 33 	 Feature33 	 0.006
46 	 57 	 Feature57 	 0.006
47 	 79 	 Feature79 	 0.006
48 	 25 	 Feature25 	 0.006
49 	 29 	 Feature29 	 0.006
50 	 87 	 Feature87 	 0.006
51 	 62 	 Feature62 	 0.005
52 	 9 	 Feature9 	 0.005
53 	 86 	 Feature86 	 0.004
54 	 101 	 Feature101 	 0.004
55 	 20 	 Feature20 	 0.003
56 	 85 	 Feature85 	 0.003
57 	 53 	 Feature53 	 0.003
58 	 114 	 Feature114 	 0.002
59 	 98 	 Feature98 	 0.002
60 	 26 	 Feature26 	 0.002
61 	 31 	 Feature31 	 0.002
62 	 42 	 Feature42 	 0.001
63 	 90 	 Feature90 	 0.000
64 	 92 	 Feature92 	 -0.000
65 	 59 	 Feature59 	 -0.000
66 	 11 	 Feature11 	 -0.001
67 	 76 	 Feature76 	 -0.001
68 	 70 	 Feature70 	 -0.001
69 	 111 	 Feature111 	 -0.002
70 	 44 	 Feature44 	 -0.002
71 	 91 	 Feature91 	 -0.002
72 	 39 	 Feature39 	 -0.002
73 	 55 	 Feature55 	 -0.002
74 	 66 	 Feature66 	 -0.002
75 	 83 	 Feature83 	 -0.003
76 	 35 	 Feature35 	 -0.003
77 	 16 	 Feature16 	 -0.004
78 	 71 	 Feature71 	 -0.005
79 	 14 	 Feature14 	 -0.005
80 	 8 	 Feature8 	 -0.005
81 	 80 	 Feature80 	 -0.005
82 	 89 	 Feature89 	 -0.005
83 	 68 	 Feature68 	 -0.005
84 	 37 	 Feature37 	 -0.005
85 	 60 	 Feature60 	 -0.006
86 	 115 	 Feature115 	 -0.006
87 	 50 	 Feature50 	 -0.007
88 	 34 	 Feature34 	 -0.007
89 	 102 	 Feature102 	 -0.007
90 	 49 	 Feature49 	 -0.007
91 	 24 	 Feature24 	 -0.007
92 	 30 	 Feature30 	 -0.008
93 	 21 	 Feature21 	 -0.008
94 	 112 	 Feature112 	 -0.008
95 	 106 	 Feature106 	 -0.008
96 	 74 	 Feature74 	 -0.009
97 	 48 	 Feature48 	 -0.009
98 	 96 	 Feature96 	 -0.009
99 	 107 	 Feature107 	 -0.010
100 	 109 	 Feature109 	 -0.010
101 	 22 	 Feature22 	 -0.011
102 	 93 	 Feature93 	 -0.011
103 	 15 	 Feature15 	 -0.011
104 	 58 	 Feature58 	 -0.011
105 	 23 	 Feature23 	 -0.011
106 	 69 	 Feature69 	 -0.012
107 	 12 	 Feature12 	 -0.012
108 	 103 	 Feature103 	 -0.012
109 	 110 	 Feature110 	 -0.013
110 	 41 	 Feature41 	 -0.013
111 	 108 	 Feature108 	 -0.013
112 	 47 	 Feature47 	 -0.013
113 	 28 	 Feature28 	 -0.014
114 	 75 	 Feature75 	 -0.014
115 	 61 	 Feature61 	 -0.014
116 	 99 	 Feature99 	 -0.014
117 	 5 	 Feature5 	 -0.014
118 	 118 	 Feature118 	 -0.015
119 	 46 	 Feature46 	 -0.015
120 	 121 	 Feature121 	 -0.015
121 	 97 	 Feature97 	 -0.018
122 	 77 	 Feature77 	 -0.019
123 	 116 	 Feature116 	 -0.019
124 	 82 	 Feature82 	 -0.021


 *** This program and the respective minimum Redundancy Maximum Relevance (mRMR) 
     algorithm were developed by Hanchuan Peng <hanchuan.peng@gmail.com>for
     the paper 
     "Feature selection based on mutual information: criteria of 
      max-dependency, max-relevance, and min-redundancy,"
      Hanchuan Peng, Fuhui Long, and Chris Ding, 
      IEEE Transactions on Pattern Analysis and Machine Intelligence,
      Vol. 27, No. 8, pp.1226-1238, 2005.

